Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
AKT1,AKT1,AGC,Akt,,P31749,207,PKB RAC,RAC-alpha serine/threonine-protein kinase,True,False
AKT2,AKT2,AGC,Akt,,P31751,208,,RAC-beta serine/threonine-protein kinase,True,False
AKT3,AKT3,AGC,Akt,,Q9Y243,10000,PKBG,RAC-gamma serine/threonine-protein kinase,True,False
CDC42BPA,MRCKa,AGC,DMPK,GEK,Q5VT25,8476,KIAA0451,Serine/threonine-protein kinase MRCK alpha,True,False
CDC42BPB,MRCKb,AGC,DMPK,GEK,Q9Y5S2,9578,KIAA1124,Serine/threonine-protein kinase MRCK beta,True,False
CDC42BPG,DMPK2,AGC,DMPK,GEK,Q6DT37,55561,DMPK2,Serine/threonine-protein kinase MRCK gamma,True,False
CIT,CRIK,AGC,DMPK,,O14578,11113,CRIK KIAA0949 STK21,Citron Rho-interacting kinase,True,False
DMPK,DMPK1,AGC,DMPK,GEK,Q09013,1760,DM1PK MDPK,Myotonin-protein kinase,True,False
ROCK1,ROCK1,AGC,DMPK,ROCK,Q13464,6093,,Rho-associated protein kinase 1,True,False
ROCK2,ROCK2,AGC,DMPK,ROCK,O75116,9475,KIAA0619,Rho-associated protein kinase 2,True,False
GRK1,RHOK,AGC,GRK,GRK,Q15835,6011,RHOK,Rhodopsin kinase,False,True
GRK2,BARK1,AGC,GRK,BARK,P25098,156,ADRBK1 BARK BARK1,Beta-adrenergic receptor kinase 1,True,False
GRK3,BARK2,AGC,GRK,BARK,P35626,157,ADRBK2 BARK2,Beta-adrenergic receptor kinase 2,True,False
GRK4,GPRK4,AGC,GRK,GRK,P32298,2868,GPRK2L GPRK4,G protein-coupled receptor kinase 4,True,False
GRK5,GPRK5,AGC,GRK,GRK,P34947,2869,GPRK5,G protein-coupled receptor kinase 5,True,False
GRK6,GPRK6,AGC,GRK,GRK,P43250,2870,GPRK6,G protein-coupled receptor kinase 6,True,False
GRK7,GPRK7,AGC,GRK,GRK,Q8WTQ7,131890,GPRK7,G protein-coupled receptor kinase 7,True,False
MAST1,MAST1,AGC,MAST,,Q9Y2H9,22983,KIAA0973 SAST,Microtubule-associated serine/threonine-protein kinase 1,True,False
MAST2,MAST2,AGC,MAST,,Q6P0Q8,23139,KIAA0807 MAST205,Microtubule-associated serine/threonine-protein kinase 2,True,False
MAST3,MAST3,AGC,MAST,,O60307,23031,KIAA0561,Microtubule-associated serine/threonine-protein kinase 3,True,False
MAST4,MAST4,AGC,MAST,,O15021,375449,KIAA0303,Microtubule-associated serine/threonine-protein kinase 4,True,False
MASTL,MASTL,AGC,MAST,,Q96GX5,84930,GW GWL THC2,Serine/threonine-protein kinase greatwall,True,False
LATS1,LATS1,AGC,NDR,,O95835,9113,WARTS,Serine/threonine-protein kinase LATS1,True,False
LATS2,LATS2,AGC,NDR,,Q9NRM7,26524,KPM,Serine/threonine-protein kinase LATS2,True,False
STK38,NDR1,AGC,NDR,,Q15208,11329,NDR1,Serine/threonine-protein kinase 38,False,True
STK38L,NDR2,AGC,NDR,,Q9Y2H1,23012,KIAA0965 NDR2,Serine/threonine-protein kinase 38-like,True,False
PDPK1,PDK1,AGC,PDK1,,O15530,5170,PDK1,3-phosphoinositide-dependent protein kinase 1,True,False
PRKACA,PKACa,AGC,PKA,,P17612,5566,PKACA,cAMP-dependent protein kinase catalytic subunit alpha,True,False
PRKACB,PKACb,AGC,PKA,,P22694,5567,,cAMP-dependent protein kinase catalytic subunit beta,True,False
PRKACG,PKACg,AGC,PKA,,P22612,5568,,cAMP-dependent protein kinase catalytic subunit gamma,True,False
PRKX,PRKX,AGC,PKA,,P51817,5613,PKX1,cAMP-dependent protein kinase catalytic subunit PRKX,True,False
PRKY,PRKY,AGC,PKA,,O43930,,,Serine/threonine-protein kinase PRKY,False,True
PRKCA,PKCa,AGC,PKC,PKCa,P17252,5578,PKCA PRKACA,Protein kinase C alpha type,True,False
PRKCB,PKCb,AGC,PKC,PKCa,P05771,5579,PKCB PRKCB1,Protein kinase C beta type,True,False
PRKCD,PKCd,AGC,PKC,PKCd,Q05655,5580,PKCD,Protein kinase C delta type,True,False
PRKCE,PKCe,AGC,PKC,PKCh,Q02156,5581,PKCE,Protein kinase C epsilon type,True,False
PRKCG,PKCg,AGC,PKC,PKCa,P05129,5582,PKCG,Protein kinase C gamma type,True,False
PRKCH,PKCh,AGC,PKC,PKCh,P24723,5583,PKCL PRKCL,Protein kinase C eta type,True,False
PRKCI,PKCi,AGC,PKC,PKCi,P41743,5584,DXS1179E,Protein kinase C iota type,True,False
PRKCQ,PKCt,AGC,PKC,PKCd,Q04759,5588,PRKCT,Protein kinase C theta type,True,False
PRKCZ,PKCz,AGC,PKC,PKCi,Q05513,5590,PKC2,Protein kinase C zeta type,True,False
PRKG1,PKG1,AGC,PKG,,Q13976,5592,PRKG1B PRKGR1A PRKGR1B,cGMP-dependent protein kinase,True,False
PRKG2,PKG2,AGC,PKG,,Q13237,5593,PRKGR2,cGMP-dependent protein kinase 2,True,False
PKN1,PKN1,AGC,PKN,,Q16512,5585,PAK1 PKN PRK1 PRKCL1,Serine/threonine-protein kinase N1,True,False
PKN2,PKN2,AGC,PKN,,Q16513,5586,PRK2 PRKCL2,Serine/threonine-protein kinase N2,True,False
PKN3,PKN3,AGC,PKN,,Q6P5Z2,29941,PKNBETA,Serine/threonine-protein kinase N3,True,False
RPS6KA1,RSK3,AGC,RSK,RSKp90,Q15418,6195,MAPKAPK1A RSK1,Ribosomal protein S6 kinase alpha-1,True,False
RPS6KA2,RSK1,AGC,RSK,RSKp90,Q15349,6196,MAPKAPK1C RSK3,Ribosomal protein S6 kinase alpha-2,True,False
RPS6KA3,RSK2,AGC,RSK,RSKp90,P51812,6197,ISPK1 MAPKAPK1B RSK2,Ribosomal protein S6 kinase alpha-3,True,False
RPS6KB1,p70S6K,AGC,RSK,RSKp70,P23443,6198,STK14A,Ribosomal protein S6 kinase beta-1,True,False
RPS6KB2,p70S6Kb,AGC,RSK,RSKp70,Q9UBS0,6199,STK14B,Ribosomal protein S6 kinase beta-2,True,False
RPS6KC1,RSKL1,AGC,RSKL,,Q96S38,26750,RPK118,Ribosomal protein S6 kinase delta-1,True,False
RPS6KL1,RSKL2,AGC,RSKL,,Q9Y6S9,83694,,Ribosomal protein S6 kinase-like 1,True,False
RSKR,SgK494,AGC,RSKR,,Q96LW2,124923,SGK494,Uncharacterized serine/threonine-protein kinase SgK494,True,False
SGK1,SGK,AGC,SGK,,O00141,6446,SGK,Serine/threonine-protein kinase Sgk1,True,False
SGK2,SGK2,AGC,SGK,,Q9HBY8,10110,,Serine/threonine-protein kinase Sgk2,True,False
SGK3,SGK3,AGC,SGK,,Q96BR1,23678,CISK SGKL,Serine/threonine-protein kinase Sgk3,True,False
STK32A,YANK1,AGC,YANK,,Q8WU08,202374,YANK1,Serine/threonine-protein kinase 32A,True,False
STK32B,YANK2,AGC,YANK,,Q9NY57,55351,YANK2,Serine/threonine-protein kinase 32B,True,False
STK32C,YANK3,AGC,YANK,,Q86UX6,282974,YANK3,Serine/threonine-protein kinase 32C,True,False
ADCK1,ADCK1,Atypical,ABC1,ABC1-B,Q86TW2,57143,,Uncharacterized aarF domain-containing protein kinase 1,True,False
ADCK2,ADCK2,Atypical,ABC1,ABC1-C,Q7Z695,90956,AARF,Uncharacterized aarF domain-containing protein kinase 2,True,False
ADCK5,ADCK5,Atypical,ABC1,ABC1-D,Q3MIX3,203054,,Uncharacterized aarF domain-containing protein kinase 5,True,False
COQ8A,ADCK3,Atypical,ABC1,ABC1-A,Q8NI60,56997,ADCK3 CABC1,Chaperone activity of bc1 complex-like,True,False
COQ8B,ADCK4,Atypical,ABC1,ABC1-A,Q96D53,79934,ADCK4,Uncharacterized aarF domain-containing protein kinase 4,True,False
ALPK1,AlphaK3,Atypical,Alpha,,Q96QP1,80216,KIAA1527 LAK,Alpha-protein kinase 1,True,False
ALPK2,AlphaK2,Atypical,Alpha,,Q86TB3,115701,HAK,Alpha-protein kinase 2,True,False
ALPK3,AlphaK1,Atypical,Alpha,,Q96L96,57538,KIAA1330 MAK,Alpha-protein kinase 3,True,False
EEF2K,eEF2K,Atypical,Alpha,eEF2K,O00418,29904,,Eukaryotic elongation factor 2 kinase,True,False
