cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
B cells,CD79A,58.48443,12.190029,0.0,0.0,0.8372811534500515,0.03902819096189262
B cells,CTA-250D10.23,49.356403,7.622808,0.0,0.0,0.7167868177136972,0.043207253152004535
B cells,MS4A1,48.85512,12.692248,0.0,0.0,0.6956745623069001,0.02847428814279643
B cells,IGHM,47.02378,12.085547,0.0,0.0,0.6817713697219362,0.057231902535769937
B cells,IGKC,46.117847,12.87119,0.0,0.0,0.6812564366632338,0.0863436747414648
B cells,BCL11A,45.602833,9.015378,0.0,0.0,0.685890834191555,0.061694290976058934
B cells,CD19,45.415443,13.001192,0.0,0.0,0.6385169927909372,0.0070123246918827025
B cells,BANK1,44.66148,10.921948,0.0,0.0,0.6338825952626158,0.01799121688624451
B cells,CD79B,42.9519,8.542022,0.0,0.0,0.6719876416065912,0.10447655475279785
B cells,AC096579.7,42.869087,8.99909,0.0,0.0,0.631307929969104,0.034990791896869246
B cells,CD22,42.282658,11.277885,0.0,0.0,0.5983522142121525,0.01282051282051282
B cells,HLA-DRA,41.800762,7.490133,0.0,0.0,0.84346035015448,0.5043207253152004
B cells,CD74,41.554203,3.885034,0.0,0.0,0.9953656024716787,0.931718373707324
B cells,ADAM28,40.71594,7.7097883,0.0,0.0,0.6230690010298661,0.07189403598243377
B cells,FGD2,40.35409,5.849393,0.0,0.0,0.6972193614830072,0.15214619634509138
B cells,IRF8,39.639984,7.343494,0.0,0.0,0.680226570545829,0.19096189261935118
B cells,NCF1C,39.620373,6.416213,0.0,0.0,0.631307929969104,0.09179770505737357
B cells,PAX5,37.7963,10.890895,0.0,0.0,0.5324407826982492,0.006658166879161354
B cells,NCF1,37.753605,6.401313,0.0,0.0,0.6343975283213182,0.12990508570619066
B cells,FCRL1,37.464497,11.05065,3.4883044529255407e-307,3.6224456150698594e-304,0.5283213182286303,0.006728998441705624
B cells,HLA-DQA1,36.52974,5.926375,3.740809864617789e-292,3.7983352074248003e-289,0.7641606591143152,0.32809179770505736
B cells,TCF4,36.493896,5.9015083,1.3859251803222452e-291,1.3766455073757397e-288,0.5895983522142122,0.0865561694290976
B cells,HLA-DQB1,36.27699,5.7117214,3.731261180172157e-288,3.551849705092213e-285,0.7914521112255407,0.4123813571327383
B cells,MEF2C,35.859657,6.590304,1.300520524143164e-281,1.188467675782989e-278,0.5602471678681772,0.07387731973367333
B cells,HLA-DPA1,35.67197,5.1715064,1.0756610729656466e-278,9.637079558028691e-276,0.88259526261586,0.6040515653775322
B cells,POU2AF1,35.299507,6.4400196,5.975351371137099e-273,5.151429336792384e-270,0.53913491246138,0.049369599093356
B cells,CD83,35.16778,6.2090077,6.217594294274877e-271,5.26100589803718e-268,0.646755921730175,0.2009491429380932
B cells,NCF1B,34.297455,5.4390197,8.56426110938062e-258,6.987825332318201e-255,0.592173017507724,0.1242385607026491
