label,accession,entry_name,organism,genus,domain,length,lifestyle,protein_name
O28497_Archaeoglobus_fulgidus,O28497,GCH1L_ARCFU,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaeoglobus,Archaea,245,"Hyperthermophile (83C, sulfate reducer)",GTP cyclohydrolase 1 type 2 homolog
Q9HP80_Halobacterium_salinarum,Q9HP80,GCH1L_HALSA,Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium),Halobacterium,Archaea,253,Extreme halophile,GTP cyclohydrolase 1 type 2 homolog
Q58337_Methanocaldococcus_jannaschii,Q58337,GCH1L_METJA,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),Methanocaldococcus,Archaea,244,"Hyperthermophile (85C, deep-sea vent)",GTP cyclohydrolase 1 type 2 homolog
O27214_Methanothermobacter_thermautotrophicus,O27214,GCH1L_METTH,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),Methanothermobacter,Archaea,234,Thermophile (65C),GTP cyclohydrolase 1 type 2 homolog
Q9UYT3_Pyrococcus_abyssi,Q9UYT3,GCH1L_PYRAB,Pyrococcus abyssi (strain GE5 / Orsay),Pyrococcus,Archaea,250,Hyperthermophile (96C),GTP cyclohydrolase 1 type 2 homolog
O58361_Pyrococcus_horikoshii,O58361,GCH1L_PYRHO,Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3),Pyrococcus,Archaea,250,Hyperthermophile (98C),GTP cyclohydrolase 1 type 2 homolog
A0A172WFY4_Thermococcus_piezophilus,A0A172WFY4,A0A172WFY4_9EURY,Thermococcus piezophilus,Thermococcus,Archaea,251,Hyperthermophilic piezophile (deep-sea),Nif3-like dinuclear metal center hexameric protein
P45371_Allochromatium_vinosum,P45371,GCH1L_ALLVD,Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum),Allochromatium,Bacteria,254,,GTP cyclohydrolase 1 type 2 homolog (ORF7)
P54472_Bacillus_subtilis,P54472,GCH1L_BACSU,Bacillus subtilis (strain 168),Bacillus,Bacteria,373,,GTP cyclohydrolase 1 type 2 homolog
O51424_Borreliella_burgdorferi,O51424,GCH1L_BORBU,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31) (Borrelia burgdorferi),Borreliella,Bacteria,248,,GTP cyclohydrolase 1 type 2 homolog
